Card	Count	Color	CMC	Type	Mana Cost	ACC	RCC	Decks
Gilded Drake	21	U	2	Creature	1U	N/A	N/A	Baral Control, Breakfast Hulk, E-MAN, Food Chain Tazri, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Kraum's MANly Combo, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shuffle Hulk, Tazri Hulk
Gilded Lotus	1	C	5	Artifact	5	N/A	N/A	Teferi Chain Veil
Gitaxian Probe	28	U	1	Sorcery	U/P	0	N/A	4c Rashmi, BUGR Paradox Scepter, Breakfast Hulk, Breya Consultation, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Food Chain Tazri, Grixis Consultation, Grixis Twin, Harvest Animar, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rashmi Control, Scepter Control, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Glamerdye	1	U	2	Instant	1U	N/A	N/A	Momir Hackball
Glimpse of Nature	2	G	1	Sorcery	G	N/A	N/A	Harvest Animar, Momir Hackball
Goblin Bombardment	2	R	2	Enchantment	1R	N/A	N/A	Mad Farm, T&T Hulkball
Goblin Bushwhacker	1	R	1	Creature	R	N/A	N/A	Food Chain Prossh
Goblin Dark-Dwellers	1	R	5	Creature	3RR	N/A	N/A	Tazri Hulk
Goblin Electromancer	1	UR	2	Creature	UR	N/A	N/A	Jeleva Storm
Goblin Matron	1	R	3	Creature	2R	N/A	N/A	Food Chain Prossh
Goblin Sharpshooter	1	R	3	Creature	2R	N/A	N/A	Meta Pod
Goblin Welder	1	R	1	Creature	R	N/A	N/A	Godo Helm
Godless Shrine	7	C	0	Land	N/A	N/A	N/A	Bad Farm, Hulkweaver, Mad Farm, Meta Pod, Shimmer Zur, T&T Hulkball, Zuran Consultation
Godo, Bandit Warlord	1	R	6	Creature	5R	N/A	N/A	Godo Helm
Golgari Grave-Troll	1	G	5	Creature	4G	N/A	N/A	Gitrog Dredge
Golgari Signet	2	BG	2	Artifact	2	N/A	N/A	Melt Banana, Scepter Control
Golgari Thug	2	B	2	Creature	1B	N/A	N/A	T&T Hulkball, Varolz Hulk
Gorilla Shaman	1	R	1	Creature	R	N/A	N/A	Mad Farm
Goryo's Vengeance	1	B	2	Instant	1B	N/A	N/A	Buried Alive Razaketh Sidisi
Grafdigger's Cage	10	C	1	Artifact	1	N/A	N/A	4c Rashmi, Baral Control, Breya Consultation, E-MAN, Godo Helm, HE-MAN, Kraum's MANly Combo, Paradox Sisay, Seasons Pastigur, Teferi Chain Veil
Grand Abolisher	9	W	2	Creature	WW	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Breakfast Hulk, Doomsday Breya, Hulkweaver, Mad Farm, Najeela Hermit Hulk, T&T Hulkball
Grand Arbiter Augustin IV	1	WU	4	Creature	2WU	N/A	N/A	Kraum's MANly Combo
Grasp of Fate	3	W	3	Enchantment	1WW	N/A	N/A	Doomsday Zur, Shimmer Zur, Zuran Consultation
Graven Cairns	1	BR	0	Land	N/A	N/A	N/A	Grixis Twin
Gray Merchant of Asphodel	1	B	5	Creature	3BB	N/A	N/A	Honorbru Meren
Great Furnace	1	R	0	Artifact Land	N/A	N/A	N/A	Godo Helm
Great Oak Guardian	1	G	6	Creature	5G	N/A	N/A	Selvala Brostorm
Greater Good	1	G	4	Enchantment	2GG	N/A	N/A	Selvala Brostorm
Green Sun's Zenith	13	G	1	Sorcery	XG	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Edric Turns, Food Chain Prossh, Gitrog Dredge, Honorbru Meren, Midrange Yisan, Momir Hackball, Paradox Sisay, SBT Grave Combos, Selvala Brostorm, Tazri Hulk, Varolz Hulk
Grim Flayer	2	BG	2	Creature	BG	N/A	N/A	Honorbru Meren, Varolz Hulk
Grim Monolith	29	C	2	Artifact	2	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Baral Control, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Zur, E-MAN, Gitrog Dredge, Godo Helm, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Momir Hackball, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Shimmer Zur, Sidisi Ad Naus Fishbowl, Teferi Chain Veil, Zuran Consultation
Grim Tutor	8	B	3	Sorcery	1BB	N/A	N/A	Bad Farm, E-MAN, Food Chain Prossh, Jeleva Storm, Melt Banana, Scepter Control, Sidisi Ad Naus Fishbowl, Varolz Hulk
Groundswell	1	G	1	Instant	G	N/A	N/A	Selvala Brostorm
Grove of the Burnwillows	1	RG	0	Land	N/A	N/A	N/A	Harvest Animar
Guardian Idol	1	C	2	Artifact	2	N/A	N/A	Paradox Arcum
Gudul Lurker	1	U	1	Creature	U	N/A	N/A	Edric Turns
Gush	5	U	5	Instant	4U	0	N/A	Doomsday Yidris, Doomsday Zur, Jeleva Storm, Kess Storm, Shimmer Zur
Guttural Response	2	RG	1	Instant	R/G	N/A	N/A	Food Chain Prossh, T&T Hulkball
Hagra Diabolist	2	B	5	Creature	4B	N/A	N/A	Food Chain Tazri, Tazri Hulk
Halimar Excavator	2	U	2	Creature	1U	N/A	N/A	Food Chain Tazri, Tazri Hulk
Hallowed Fountain	9	C	0	Land	N/A	N/A	N/A	Breya Consultation, Doomsday Zur, E-MAN, HE-MAN, Hulkweaver, Kraum's MANly Combo, Opus Thief, Shimmer Zur, Zuran Consultation
Hammer of Nazahn	1	C	4	Artifact	4	N/A	N/A	Godo Helm
Hangarback Walker	1	C	0	Artifact Creature	XX	N/A	N/A	Paradox Arcum
Hapless Researcher	1	U	1	Creature	U	N/A	N/A	SBT Grave Combos
Heart Warden	1	G	2	Creature	1G	N/A	N/A	Momir Hackball
Heat Shimmer	1	R	3	Sorcery	2R	N/A	N/A	Godo Helm
Hedron Crawler	1	C	2	Artifact Creature	2	N/A	N/A	Paradox Arcum
Hellraiser Goblin	1	R	3	Creature	2R	N/A	N/A	Tazri Hulk
Helm of Awakening	6	C	2	Artifact	2	N/A	N/A	Buried Alive Razaketh Sidisi, Doomsday Yidris, Doomsday Zur, Melt Banana, Shimmer Zur, Sidisi Ad Naus Fishbowl
Helm of the Host	1	C	4	Artifact	4	N/A	N/A	Godo Helm
Heritage Druid	1	G	1	Creature	G	N/A	N/A	Momir Hackball
Hermit Druid	6	G	2	Creature	1G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Najeela Hermit Hulk, SBT Grave Combos, Tazri Hulk
High Market	1	C	0	Land	N/A	N/A	N/A	Honorbru Meren
High Tide	7	U	1	Instant	U	N/A	N/A	Doomsday Yidris, Doomsday Zur, High Tide Jace, Jeleva Storm, Kess Storm, Shimmer Zur, Teferi Chain Veil
Hinterland Harbor	2	UG	0	Land	N/A	N/A	N/A	Edric Turns, Rashmi Control
Hokori, Dust Drinker	1	W	4	Creature	2WW	N/A	N/A	Paradox Sisay
Homeward Path	1	C	0	Land	N/A	N/A	N/A	Gitrog Dredge
Honor-Worn Shaku	1	C	3	Artifact	3	N/A	N/A	Godo Helm
Hope of Ghirapur	6	C	1	Artifact Creature	1	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Edric Turns, Mad Farm, Paradox Arcum, Sidisi Ad Naus Fishbowl
Horizon Canopy	4	WG	0	Land	N/A	N/A	N/A	Blood Pod, Hulkweaver, Meta Pod, Paradox Sisay
Humility	1	W	4	Enchantment	2WW	N/A	N/A	HE-MAN
Hurkyl's Recall	3	U	2	Instant	1U	N/A	N/A	Paradox Arcum, Rashmi Control, Shimmer Zur
Hushwing Gryff	2	W	3	Creature	2W	N/A	N/A	Paradox Sisay, T&T Hulkball
Ikra Shidiqi, the Usurper	1	BG	5	Creature	3BG	N/A	N/A	Bad Farm
Imperial Recruiter	3	R	3	Creature	2R	N/A	N/A	Food Chain Prossh, Godo Helm, Harvest Animar
Imperial Seal	47	B	1	Sorcery	B	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Impulse	15	U	2	Instant	1U	N/A	N/A	BUGR Paradox Scepter, Baral Control, Doomsday Zur, Grixis Consultation, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Paradox Arcum, Rashmi Control, Scepter Control, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Infernal Plunge	1	R	1	Sorcery	R	N/A	N/A	Mad Farm
Inkmoth Nexus	1	C	0	Land	N/A	N/A	N/A	Paradox Arcum
Inquisition of Kozilek	3	B	1	Sorcery	B	N/A	N/A	Buried Alive Razaketh Sidisi, Melt Banana, Sidisi Ad Naus Fishbowl
Insolent Neonate	1	R	1	Creature	R	N/A	N/A	Mad Farm
Into the Roil	6	U	2	Instant	1U	N/A	N/A	Breya Consultation, Doomsday Yidris, Paradox Arcum, Rashmi Control, Scepter Control, Teferi Chain Veil
Intruder Alarm	1	U	3	Enchantment	2U	N/A	N/A	Rad Farm
Intuition	16	U	3	Instant	2U	N/A	N/A	BUGR Paradox Scepter, Doomsday Yidris, Doomsday Zur, Grixis Consultation, Grixis Twin, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Melt Banana, Mimeo Reanimator Hulk, Rashmi Control, Razakats, Scion Reanimator, Seasons Pastigur, Teferi Chain Veil
Inventors' Fair	4	C	0	Land	N/A	N/A	N/A	Baral Control, Godo Helm, Paradox Sisay, Teferi Chain Veil
Invigorate	1	G	3	Instant	2G	0	N/A	Selvala Brostorm
Island	22	U	0	Land	N/A	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Divergent Control, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Momir Hackball, Nooze Reanimator, Paradox Arcum, Seasons Pastigur, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Isochron Scepter	19	C	2	Artifact	2	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breya Consultation, Divergent Control, E-MAN, Grixis Consultation, HE-MAN, High Tide Jace, Kraum's MANly Combo, Melt Banana, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Scepter Control, Seasons Pastigur, Shimmer Zur, Zuran Consultation
Izzet Charm	3	UR	2	Instant	UR	N/A	N/A	Doomsday Breya, Grixis Twin, Scion Reanimator
Izzet Signet	8	UR	2	Artifact	2	N/A	N/A	Divergent Control, Doomsday Breya, Doomsday Yidris, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Opus Thief
Jace, Vryn's Prodigy	11	U	2	Creature	1U	N/A	N/A	Breya Consultation, Doomsday Breya, Doomsday Zur, Grixis Consultation, High Tide Jace, Mimeo Reanimator Hulk, Nooze Reanimator, Razakats, SBT Grave Combos, Scion Reanimator, Shimmer Zur
Jeleva, Nephalia's Scourge	1	UBR	4	Creature	1UBR	N/A	N/A	Jeleva Storm
Jet Medallion	2	C	2	Artifact	2	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Jeweled Amulet	2	C	0	Artifact	0	N/A	N/A	Godo Helm, Sidisi Ad Naus Fishbowl
Jin-Gitaxias, Core Augur	5	U	10	Creature	8UU	N/A	N/A	Grixis Twin, Mimeo Reanimator Hulk, Nooze Reanimator, Razakats, Scion Reanimator
Joraga Treespeaker	1	G	1	Creature	G	N/A	N/A	Momir Hackball
Junk Diver	1	C	3	Artifact Creature	3	N/A	N/A	Paradox Arcum
Kalastria Healer	2	B	2	Creature	1B	N/A	N/A	Food Chain Tazri, Tazri Hulk
Kamahl, Fist of Krosa	1	G	6	Creature	4GG	N/A	N/A	Paradox Sisay
Karametra's Acolyte	1	G	4	Creature	3G	N/A	N/A	Midrange Yisan
Karmic Guide	3	W	5	Creature	3WW	N/A	N/A	Blood Pod, Hulkweaver, Meta Pod
Karn's Temporal Sundering	1	U	6	Sorcery	4UU	N/A	N/A	Edric Turns
Kataki, War's Wage	2	W	2	Creature	1W	N/A	N/A	Blood Pod, Paradox Sisay
Kederekt Leviathan	1	U	8	Creature	6UU	N/A	N/A	Razakats
Keen Sense	2	G	1	Enchantment	G	N/A	N/A	4c Rashmi, BUGR Paradox Scepter
Kess, Dissident Mage	3	UBR	4	Creature	1UBR	N/A	N/A	Grixis Consultation, Grixis Twin, Kess Storm
Kiki-Jiki, Mirror Breaker	3	R	5	Creature	2RRR	N/A	N/A	Blood Pod, Grixis Twin, Meta Pod
Kiora's Follower	1	UG	2	Creature	GU	N/A	N/A	Momir Hackball
Kiri-Onna	1	U	5	Creature	4U	N/A	N/A	Harvest Animar
Kozilek's Return	2	C	3	Instant	2R	N/A	N/A	4c Rashmi, Divergent Control
Kozilek, Butcher of Truth	2	C	10	Creature	10	N/A	N/A	Gitrog Dredge, Shuffle Hulk
Krark-Clan Ironworks	1	C	4	Artifact	4	N/A	N/A	Godo Helm
Kraul Harpooner	1	G	2	Creature	1G	N/A	N/A	Midrange Yisan
Kraum, Ludevic's Opus	2	UR	5	Creature	3UR	N/A	N/A	Kraum's MANly Combo, Opus Thief
Krosan Wayfarer	1	G	1	Creature	G	N/A	N/A	Bad Farm
Laboratory Maniac	17	U	3	Creature	2U	N/A	N/A	Breya Consultation, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Food Chain Tazri, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, SBT Grave Combos, Shimmer Zur, Tazri Hulk, Zuran Consultation
Lake of the Dead	4	B	0	Land	N/A	N/A	N/A	Buried Alive Razaketh Sidisi, Gitrog Dredge, Melt Banana, Sidisi Ad Naus Fishbowl
Land Grant	1	G	2	Sorcery	1G	0	N/A	Paradox Sisay
Last Chance	1	R	2	Sorcery	RR	N/A	N/A	Godo Helm
Leaden Myr	1	B	2	Artifact Creature	2	N/A	N/A	Buried Alive Razaketh Sidisi
Leonin Relic-Warder	6	W	2	Creature	WW	N/A	N/A	Bad Farm, Hulkweaver, Mad Farm, Razakats, Shuffle Hulk, T&T Hulkball
Leyline of the Void	2	B	4	Enchantment	2BB	N/A	N/A	Blood Pod, Meta Pod
Life // Death	9	BG	3	Sorcery	G // 1B	N/A	N/A	4c Lightning Druid, Honorbru Meren, Hulkweaver, Mimeo Reanimator Hulk, Nooze Reanimator, Rad Farm, Razakats, Scion Reanimator, Varolz Hulk
Life from the Loam	2	G	2	Sorcery	1G	N/A	N/A	Gitrog Dredge, Seasons Pastigur
Life's Legacy	1	G	2	Sorcery	1G	N/A	N/A	Selvala Brostorm
Lightning Bolt	1	R	1	Instant	R	N/A	N/A	Godo Helm
Lightning Greaves	4	C	2	Artifact	2	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Paradox Arcum, Paradox Sisay
Lightning Mauler	1	R	2	Creature	1R	N/A	N/A	Najeela Hermit Hulk
Lignify	1	G	2	Enchantment	1G	N/A	N/A	Midrange Yisan
Lim-Dûl's Vault	31	UB	2	Instant	UB	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Kess Storm, Kraum's MANly Combo, Melt Banana, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Zuran Consultation
Linvala, Keeper of Silence	5	W	4	Creature	2WW	N/A	N/A	Blood Pod, E-MAN, Hulkweaver, Meta Pod, Paradox Sisay
Lion's Eye Diamond	22	C	0	Artifact	0	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Gitrog Dredge, Godo Helm, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Melt Banana, Mimeo Reanimator Hulk, Nooze Reanimator, Rad Farm, Razakats, Scion Reanimator, Shimmer Zur, Sidisi Ad Naus Fishbowl
Llanowar Elves	29	G	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breakfast Hulk, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Harvest Animar, Honorbru Meren, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scion Reanimator, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Llanowar Wastes	9	BG	0	Land	N/A	N/A	N/A	4c Lightning Druid, Blood Pod, Food Chain Tazri, Gitrog Dredge, Honorbru Meren, Mimeo Reanimator Hulk, Scepter Control, Shuffle Hulk, Varolz Hulk
Looter il-Kor	1	U	2	Creature	1U	N/A	N/A	Edric Turns
Lotus Bloom	2	C	0	Artifact	0	N/A	N/A	Doomsday Yidris, Melt Banana
Lotus Petal	35	C	0	Artifact	0	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Breya Consultation, Buried Alive Razaketh Sidisi, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Godo Helm, Grixis Consultation, Harvest Animar, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, SBT Grave Combos, Scion Reanimator, Shimmer Zur, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Loyal Apprentice	1	R	2	Creature	1R	N/A	N/A	Meta Pod
Loyal Drake	1	U	3	Creature	2U	N/A	N/A	Harvest Animar
Luminarch Ascension	1	W	2	Enchantment	1W	N/A	N/A	Blood Pod
Lupine Prototype	1	C	2	Artifact Creature	2	N/A	N/A	Selvala Brostorm
Luxury Suite	1	BR	0	Land	N/A	N/A	N/A	Grixis Twin
Magnetic Theft	1	R	1	Instant	R	N/A	N/A	Godo Helm
Magus of the Moon	4	R	3	Creature	2R	N/A	N/A	5c Lightning Druid, Blood Pod, Godo Helm, Meta Pod
Mana Confluence	46	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Mana Crypt	59	C	0	Artifact	0	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Baral Control, Blood Pod, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Godo Helm, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Selvala Brostorm, Shimmer Zur, Shuffle Hulk, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Mana Drain	34	U	2	Instant	UU	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Mimeo Reanimator Hulk, Momir Hackball, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rashmi Control, Razakats, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Teferi Chain Veil, Zuran Consultation
Mana Leak	4	U	2	Instant	1U	N/A	N/A	Baral Control, Momir Hackball, Paradox Arcum, Rashmi Control
Mana Tithe	1	W	1	Instant	W	N/A	N/A	Bad Farm
Mana Vault	39	C	1	Artifact	1	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Bad Farm, Baral Control, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Godo Helm, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Momir Hackball, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Seasons Pastigur, Shimmer Zur, Sidisi Ad Naus Fishbowl, Tazri Hulk, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Manakin	1	C	2	Artifact Creature	2	N/A	N/A	Paradox Arcum
Manamorphose	3	RG	2	Instant	1R/G	N/A	N/A	BUGR Paradox Scepter, Doomsday Yidris, Melt Banana
Manglehorn	2	G	3	Creature	2G	N/A	N/A	Midrange Yisan, Paradox Sisay
Manifold Insights	1	U	3	Sorcery	2U	N/A	N/A	Rashmi Control
Manipulate Fate	1	U	2	Sorcery	1U	N/A	N/A	Food Chain Tazri
Marsh Flats	46	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Mass Hysteria	1	R	1	Enchantment	R	N/A	N/A	5c Lightning Druid
Massacre	3	B	4	Sorcery	2BB	N/A	N/A	4c Rashmi, Divergent Control, Scepter Control
Mausoleum Secrets	1	B	2	Instant	1B	N/A	N/A	Varolz Hulk
Mausoleum Wanderer	1	U	1	Creature	U	N/A	N/A	Edric Turns
Maximize Velocity	1	R	1	Sorcery	R	N/A	N/A	5c Lightning Druid
Melira, Sylvok Outcast	1	G	2	Creature	1G	N/A	N/A	Varolz Hulk
Memnite	5	C	0	Artifact Creature	0	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Mad Farm, Paradox Arcum, Sidisi Ad Naus Fishbowl
Memory Jar	2	C	5	Artifact	5	N/A	N/A	Selvala Brostorm, Teferi Chain Veil
Memory's Journey	5	U	2	Instant	1U	N/A	N/A	Breakfast Hulk, Hulkweaver, SBT Grave Combos, Shuffle Hulk, Tazri Hulk
Mental Misstep	41	U	1	Instant	U/P	0	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Merchant Scroll	14	U	2	Sorcery	1U	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Baral Control, Doomsday Breya, Doomsday Zur, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Momir Hackball, Rashmi Control, Shimmer Zur, Shuffle Hulk, Teferi Chain Veil
Meren of Clan Nel Toth	1	BG	4	Creature	2BG	N/A	N/A	Honorbru Meren
Metalworker	2	C	3	Artifact Creature	3	N/A	N/A	Godo Helm, Paradox Arcum
Might of Old Krosa	1	G	1	Instant	G	N/A	N/A	Selvala Brostorm
Mikaeus, the Unhallowed	2	B	6	Creature	3BBB	N/A	N/A	Honorbru Meren, Mimeo Reanimator Hulk
Minamo, School at Water's Edge	1	U	0	Land	N/A	N/A	N/A	Paradox Arcum
Mind Bend	1	U	1	Instant	U	N/A	N/A	Momir Hackball
Mind Stone	4	C	2	Artifact	2	N/A	N/A	Buried Alive Razaketh Sidisi, Godo Helm, Sidisi Ad Naus Fishbowl, Teferi Chain Veil
Mind's Desire	5	U	6	Sorcery	4UU	N/A	N/A	Doomsday Yidris, High Tide Jace, Jeleva Storm, Kess Storm, Melt Banana
Mindblade Render	4	B	2	Creature	1B	N/A	N/A	Honorbru Meren, Najeela Hermit Hulk, Najeela Tempo, Varolz Hulk
